system:index,active_proportion,activity_label,alert_id,classification,count,label,n_active,n_coca,n_forest,n_historical,n_pixels,region,threat_level,.geo
+3235+5591,0.0,HISTORICAL DISTURBANCE: Abandoned site — possible Illegal gold mining,+3235+5591,1,1,1,0,5,17,23,45,Madre de Dios,MEDIUM,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.46771821633882,-11.746011329033218]}"
+3235+5605,0.02040816326530612,HISTORICAL DISTURBANCE: Abandoned site — possible Illegal gold mining,+3235+5605,1,21,1,1,6,0,42,49,Madre de Dios,MEDIUM,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.46172944777803,-11.793065939153765]}"
+3235+5622,0.12244897959183673,HISTORICAL DISTURBANCE: Abandoned site — possible Illegal gold mining,+3235+5622,1,2,1,6,0,1,42,49,Madre de Dios,MEDIUM,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.46996400454913,-11.883004409861444]}"
+3235+5656,0.0,HISTORICAL DISTURBANCE: Abandoned site — possible Illegal gold mining,+3235+5656,1,3,1,0,0,9,38,47,Madre de Dios,MEDIUM,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.46472383205844,-12.033472219951465]}"
+3235+5658,0.0,HISTORICAL DISTURBANCE: Abandoned site — possible Illegal gold mining,+3235+5658,1,1,1,0,0,11,34,45,Madre de Dios,MEDIUM,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.46771821633882,-12.046946949213256]}"
+3235+5752,0.2558139534883721,COCA CULTIVATION detected — illegal narcotics production in protected area,+3235+5752,3,2,1,11,16,0,16,43,Madre de Dios,HIGH,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.46771821633882,-12.46690934453913]}"
+3235+5794,0.9,HIGH CONFIDENCE: Active Illegal gold mining,+3235+5794,2,1,1,9,1,0,0,10,Madre de Dios,CRITICAL,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.46771821633882,-12.657801342414531]}"
+3236+5542,0.021739130434782608,COCA CULTIVATION detected — illegal narcotics production in protected area,+3236+5542,3,7,1,1,23,0,22,46,Madre de Dios,HIGH,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.45809340972326,-11.514374316485254]}"
+3236+5547,0.0,HISTORICAL DISTURBANCE: Abandoned site — possible Illegal gold mining,+3236+5547,1,3,1,0,0,14,35,49,Madre de Dios,MEDIUM,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.46172944777803,-11.545387582246521]}"
+3236+5580,0.32653061224489793,LOW RISK: Intact forest or RADD false positive,+3236+5580,2,2,1,16,15,4,14,49,Madre de Dios,LOW,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.46547242812854,-11.694358200196342]}"
+3236+5587,0.0,LOW RISK: Intact forest or RADD false positive,+3236+5587,0,1,1,0,17,25,3,45,Madre de Dios,LOW,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.46322663991823,-11.728045023350825]}"
+3236+5596,0.13333333333333333,HISTORICAL DISTURBANCE: Abandoned site — possible Illegal gold mining,+3236+5596,1,1,1,6,0,0,39,45,Madre de Dios,MEDIUM,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.46322663991823,-11.768469211136205]}"
+3236+5634,0.0,HISTORICAL DISTURBANCE: Abandoned site — possible Illegal gold mining,+3236+5634,1,4,1,0,0,3,45,48,Madre de Dios,MEDIUM,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.4598579576028,-11.932411750488017]}"
+3236+5642,0.6666666666666666,MODERATE CONFIDENCE: Likely active Illegal gold mining,+3236+5642,2,1,1,30,0,12,3,45,Madre de Dios,HIGH,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.46322663991823,-11.975081726483696]}"
